_id,close,date,feeGrowthGlobal0X128,feeGrowthGlobal1X128,feesUSD,high,id,liquidity,low,open,pool.feeTier,pool.id,pool.token0,pool.token1,sqrtPrice,tick,token0Price,token1Price,tvlUSD,txCount,volumeToken0,volumeToken1,volumeUSD
6236beb5c0b5e15c90553159,2948.624496611394272287494688247193,1647734400,1925574100359631770863661397890346,680795784635186869036536304498361219763336,150086.3316680377954561797138417012,2954.946762874015473772261641240534,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19071,13991370965521781650,2828.149260939498617632149712104177,2948.624496611394272287494688247193,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1481414470320878748784937449957291,196733,2860.263226237375532467916691703145,0.0003496181717916507591775391827444264,401219424.2451860056087972766641166,540,50008271.309641,17339.725117724453952805,50028777.22267926515205990461390055
6236beb5c0b5e15c9055315b,2945.564588431816440917241767729426,1647648000,1924175435074597274068955412670440,680028294969903469825387154173883766255206,118957.0564423291014331776582696577,2976.803923848540704492786775194013,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19070,14158280019625534538,2915.040467522447450103268473747502,2945.564588431816440917241767729426,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1459572415935915595879603798177000,196436,2946.509686617982069411403312659486,0.0003393845961347592885375256509294808,406680606.456331511093437075543379,490,39650753.523317,13431.316472757176659932,39652352.14744303381105921942321916
6236beb6c0b5e15c9055315e,2812.492523246521633696809771287688,1647561600,1922797943160175525734628200040544,679573670559900901731026430403568455474264,163713.8337736501726501987832318452,2975.211554447716303754876690912746,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19069,13251116148319416556,2776.986989725269376216045282755315,2812.492523246521633696809771287688,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1460247678686883434370667981658303,196445,2943.785206073554932737923491607611,0.0003396986974242622391790762219589558,408399997.4009235621096565491315472,577,54603843.337976,19065.146511216926121552,54571277.92455005755006626107728171
6236bebbc0b5e15c90553169,2767.992564198473623642911356593568,1647475200,1920187500549039702368804534169956,679090206808894658036522188646493680328795,112488.4016334738658386927737396283,2827.536382502416482640495233997065,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19068,13918730282133183037,2755.453196090828857453594967493979,2767.992564198473623642911356593568,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1493664464151032542359289756463474,196898,2813.539844583848429501381123101662,0.0003554241472446288803381011551808001,395035372.3214027592117696636254872,407,37507353.350594,13417.324131025237435907,37496133.87782462194623092457987604
6236bebcc0b5e15c9055316b,2622.152674265079995823280928528587,1647388800,1918602512071011754767356312975667,678681703688218453711086761752520521365493,356129.9553516688861767489783604968,2783.201267616612884429276239445172,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19067,13993407208843842451,2613.639527090952721400058119940743,2622.152674265079995823280928528587,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1505912376941861873514546285745398,197061,2767.959695463351434762423021946504,0.000361276936813417658157385013414002,391636206.112549300335557572015702,614,118742727.8338,44202.306742261969920824,118709985.1172229620589163261201652
6236bebcc0b5e15c9055316d,2588.780171791404552599492511121159,1647302400,1913613235130807912905183131038142,677358402769006803346905549956374407601331,195703.5904114971599451310669348698,2660.527830862016396566539189078178,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19066,14641276038250328330,2518.42733198611837306653733258718,2588.780171791404552599492511121159,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1547214747669328836668030125783382,197602,2622.152674265079995823280928528587,0.0003813660469942977431128826772305569,373083873.4813224287151747130006727,537,65244063.506046,25272.111228718026940756,65234530.13716571998171035564495637
6236bebec0b5e15c90553170,2515.105408317839259710042047173459,1647216000,1911132059738411672160484797034146,676525923644022271375605028851370612886155,155646.265541138452159181220663661,2600.958044267792253208171909490937,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19065,14399663293674114619,2508.449611498391254825758239509008,2515.105408317839259710042047173459,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1557155546246044328772105370945162,197730,2588.780171791404552599492511121159,0.000386282315855352098431767237220748,368898998.8844873250392756368276274,515,51901247.835372,20277.07477064673046968,51882088.5137128173863937402212204
6236bebfc0b5e15c90553172,2569.322039380366500163225062544066,1647129600,1908894324473702403823958199537076,675943341713208923621107114251076628607192,121264.223036143419810495521830105,2597.189124711419885837358142847543,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19064,14073682894381773101,2501.408448480086693648604665657181,2569.322039380366500163225062544066,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1579797739957988960657701060221797,198019,2515.105408317839259710042047173459,0.0003975976500598530211750568351133512,367508799.0244153970131153379062164,346,40400103.756592,15799.336717450346307248,40421407.6787144732701651739433684
6236bec0c0b5e15c90553174,2564.097237688203620465569800058384,1647043200,1907721014498445309771841291128847,675233801497124726993773528629083022998456,74771.04656454522276241441077620004,2603.444431049488550552782428173248,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19063,14242995286836357924,2561.336747717969502478892266720716,2564.097237688203620465569800058384,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1562690657971834772142588398452555,197801,2570.473528517129711134776200066319,0.0003890333780550099800851271425749709,375072056.0126363868618105373570741,348,24923620.340521,9648.803998895771039341,24923682.18818174092080480359206664
6236bec0c0b5e15c90553176,2612.266535991171601055537420250546,1646956800,1906814169564335230203853992292815,674931377348664107064107038878462124449960,227472.8568100261445265819678350873,2668.622534856436491397043747660824,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8-19062,14139662881115600520,2531.696438651957273379339571177874,2612.266535991171601055537420250546,3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,,1564448997147618835396544403435001,197824,2564.698684654762022336282515609955,0.0003899093511386939069839679761629776,373326312.660378868574408976266517,509,75812221.34501,29262.655243720280662816,75824285.60334204817552732261169582
